id,user_id,item_id,date_created,date_cart_transition,became_order
1,1,3,2025-03-28,2025-03-28,1
2,2,8,2025-03-23,2025-03-30,0
3,3,15,2025-03-29,2025-03-29,1
4,4,1,2025-03-20,2025-03-27,0
5,5,5,2025-03-29,2025-03-29,1
6,6,14,2025-03-21,2025-03-28,0
7,7,7,2025-03-19,2025-03-19,0
8,8,12,2025-03-14,2025-03-14,1
9,9,10,2025-04-04,2025-04-11,0
10,10,12,2025-03-07,2025-03-07,1
11,11,11,2025-04-04,2025-04-04,0
12,12,9,2025-04-01,2025-04-01,1
13,13,1,2025-04-01,2025-04-08,0
14,14,15,2025-03-31,2025-03-31,1
15,15,9,2025-03-04,2025-03-04,1
16,16,14,2025-03-18,2025-03-18,0
17,17,15,2025-03-21,2025-03-21,1
18,18,11,2025-03-29,2025-03-29,0
19,19,7,2025-03-29,2025-03-29,1
20,20,3,2025-03-23,2025-03-23,1
21,21,6,2025-03-27,2025-03-27,1
22,22,14,2025-03-14,2025-03-14,0
23,23,10,2025-03-28,2025-04-04,0
24,24,10,2025-03-25,2025-03-25,0
25,25,10,2025-04-02,2025-04-02,0
26,26,4,2025-03-13,2025-03-13,1
27,27,6,2025-04-01,2025-04-01,1
28,28,11,2025-03-26,2025-04-02,0
29,29,13,2025-03-05,2025-03-12,0
30,30,13,2025-04-03,2025-04-03,1
31,31,5,2025-03-26,2025-03-26,1
32,32,11,2025-03-15,2025-03-22,0
33,33,10,2025-04-04,2025-04-11,0
34,34,11,2025-03-21,2025-03-21,0
35,35,7,2025-03-18,2025-03-18,0
36,36,6,2025-03-26,2025-03-26,1
37,37,4,2025-03-26,2025-03-26,1
38,38,1,2025-03-28,2025-03-28,0
39,39,1,2025-03-15,2025-03-15,0
40,40,11,2025-03-31,2025-03-31,0
41,41,11,2025-03-30,2025-03-30,0
42,42,15,2025-03-02,2025-03-02,0
43,43,15,2025-03-22,2025-03-29,0
44,44,5,2025-03-23,2025-03-23,1
45,45,6,2025-03-26,2025-03-26,1
46,46,10,2025-03-12,2025-03-12,0
47,47,11,2025-03-20,2025-03-20,0
48,48,4,2025-03-14,2025-03-14,1
49,49,6,2025-03-14,2025-03-14,1
50,50,5,2025-03-30,2025-03-30,1
51,51,12,2025-04-05,2025-04-05,1
52,52,3,2025-03-12,2025-03-12,0
53,53,15,2025-04-04,2025-04-04,0
54,54,6,2025-04-04,2025-04-04,1
55,55,1,2025-03-27,2025-03-27,0
56,56,7,2025-03-29,2025-04-05,0
57,57,2,2025-03-24,2025-03-24,1
58,58,2,2025-03-25,2025-03-25,1
59,59,8,2025-03-30,2025-03-30,1
60,60,5,2025-03-31,2025-03-31,1
61,61,8,2025-03-28,2025-03-28,1
62,62,1,2025-03-31,2025-03-31,0
63,63,7,2025-03-26,2025-04-02,0
64,64,3,2025-03-11,2025-03-18,0
65,65,15,2025-03-19,2025-03-19,1
66,66,15,2025-03-21,2025-03-21,1
67,67,13,2025-03-21,2025-03-28,0
68,68,1,2025-03-26,2025-03-26,0
69,69,9,2025-03-20,2025-03-20,1
70,70,4,2025-03-19,2025-03-19,1
71,71,6,2025-03-23,2025-03-23,1
72,72,4,2025-03-30,2025-03-30,1
73,73,6,2025-03-23,2025-03-23,1
74,74,8,2025-03-21,2025-03-28,0
75,75,4,2025-03-24,2025-03-24,1
76,76,15,2025-03-30,2025-04-06,0
77,77,7,2025-03-09,2025-03-09,1
78,78,3,2025-03-31,2025-03-31,1
79,79,4,2025-03-25,2025-03-25,1
80,80,5,2025-03-26,2025-03-26,1
81,81,15,2025-03-22,2025-03-22,1
82,82,9,2025-03-31,2025-03-31,1
83,83,4,2025-03-10,2025-03-10,1
84,84,7,2025-03-16,2025-03-23,0
85,85,15,2025-03-24,2025-03-24,0
86,86,5,2025-03-19,2025-03-19,1
87,87,6,2025-03-12,2025-03-12,1
88,88,10,2025-03-21,2025-03-28,0
89,89,11,2025-03-20,2025-03-27,0
90,90,12,2025-04-01,2025-04-01,1
91,91,2,2025-03-29,2025-03-29,1
92,92,4,2025-03-16,2025-03-16,1
93,93,5,2025-04-02,2025-04-02,1
94,94,5,2025-03-14,2025-03-14,1
95,95,6,2025-03-08,2025-03-08,1
96,96,12,2025-03-10,2025-03-10,1
97,97,13,2025-03-25,2025-03-25,1
98,98,14,2025-03-24,2025-03-24,0
99,99,12,2025-03-11,2025-03-11,1
100,100,12,2025-03-26,2025-03-26,1
101,101,9,2025-03-15,2025-03-15,1
102,102,2,2025-03-13,2025-03-13,1
103,103,7,2025-03-20,2025-03-27,0
104,104,15,2025-03-11,2025-03-11,0
105,105,12,2025-04-01,2025-04-01,1
106,106,4,2025-03-10,2025-03-10,1
107,107,7,2025-03-18,2025-03-18,1
108,108,1,2025-03-30,2025-03-30,0
109,109,15,2025-03-31,2025-03-31,1
110,110,3,2025-03-23,2025-03-30,0
111,111,15,2025-04-05,2025-04-05,0
112,112,9,2025-03-27,2025-03-27,1
113,113,3,2025-03-31,2025-03-31,0
114,114,5,2025-03-10,2025-03-10,1
115,115,4,2025-03-26,2025-03-26,1
116,116,3,2025-03-26,2025-04-02,0
117,117,13,2025-03-30,2025-03-30,1
118,118,11,2025-04-03,2025-04-10,0
119,119,3,2025-03-22,2025-03-22,0
120,120,9,2025-03-24,2025-03-24,1
121,121,5,2025-03-09,2025-03-09,1
122,122,13,2025-03-30,2025-03-30,1
123,123,10,2025-03-20,2025-03-20,0
124,124,15,2025-03-25,2025-04-01,0
125,125,3,2025-03-21,2025-03-21,1
126,126,5,2025-04-03,2025-04-03,1
127,127,15,2025-03-15,2025-03-15,1
128,128,12,2025-03-17,2025-03-17,1
129,129,8,2025-03-11,2025-03-11,1
130,130,1,2025-03-29,2025-04-05,0
131,131,6,2025-04-03,2025-04-03,1
132,132,7,2025-03-28,2025-03-28,0
133,133,4,2025-04-03,2025-04-03,1
134,134,10,2025-03-23,2025-03-23,0
135,135,8,2025-03-08,2025-03-08,1
136,136,7,2025-03-21,2025-03-21,1
137,137,4,2025-03-28,2025-03-28,1
138,138,4,2025-04-02,2025-04-02,1
139,139,1,2025-03-24,2025-03-24,0
140,140,1,2025-03-15,2025-03-15,0
141,141,9,2025-03-21,2025-03-21,1
142,142,1,2025-03-10,2025-03-17,0
143,143,13,2025-03-20,2025-03-27,0
144,144,8,2025-03-26,2025-03-26,0
145,145,8,2025-03-24,2025-03-31,0
146,146,3,2025-03-22,2025-03-22,1
147,147,1,2025-03-16,2025-03-16,0
148,148,14,2025-03-09,2025-03-16,0
149,149,7,2025-03-15,2025-03-15,1
150,150,12,2025-03-20,2025-03-20,1
151,151,15,2025-04-01,2025-04-08,0
152,152,2,2025-03-31,2025-03-31,1
153,153,2,2025-04-01,2025-04-01,1
154,154,7,2025-03-22,2025-03-22,1
155,155,4,2025-04-02,2025-04-02,1
156,156,11,2025-03-17,2025-03-17,0
157,157,11,2025-03-25,2025-04-01,0
158,158,10,2025-03-18,2025-03-18,0
159,159,8,2025-04-03,2025-04-03,0
160,160,1,2025-03-13,2025-03-13,0
161,161,4,2025-03-31,2025-03-31,1
162,162,2,2025-03-24,2025-03-24,1
163,163,12,2025-03-27,2025-03-27,1
164,164,3,2025-03-22,2025-03-22,1
165,165,8,2025-03-27,2025-04-03,0
166,166,6,2025-04-03,2025-04-03,1
167,167,10,2025-03-17,2025-03-24,0
168,168,9,2025-03-18,2025-03-18,1
169,169,10,2025-03-28,2025-04-04,0
170,170,11,2025-03-11,2025-03-11,0
171,171,11,2025-03-18,2025-03-18,0
172,172,11,2025-03-17,2025-03-24,0
173,173,15,2025-04-04,2025-04-04,1
174,174,9,2025-03-30,2025-03-30,1
175,175,8,2025-03-19,2025-03-26,0
176,176,4,2025-03-17,2025-03-17,1
177,177,15,2025-03-23,2025-03-23,1
178,178,5,2025-03-21,2025-03-21,1
179,179,4,2025-04-05,2025-04-05,1
180,180,4,2025-03-16,2025-03-16,1
181,181,9,2025-03-15,2025-03-15,1
182,182,4,2025-03-20,2025-03-20,1
183,183,12,2025-03-24,2025-03-24,1
184,184,9,2025-03-22,2025-03-22,1
185,185,11,2025-03-23,2025-03-23,0
186,186,3,2025-03-28,2025-03-28,1
187,187,5,2025-03-22,2025-03-22,1
188,188,5,2025-03-21,2025-03-21,1
189,189,11,2025-03-29,2025-04-05,0
190,190,6,2025-03-23,2025-03-23,1
191,191,10,2025-03-29,2025-04-05,0
192,192,1,2025-03-17,2025-03-17,0
193,193,1,2025-03-23,2025-03-23,0
194,194,7,2025-03-14,2025-03-14,0
195,195,4,2025-04-02,2025-04-02,1
196,196,13,2025-03-29,2025-03-29,1
197,197,7,2025-03-12,2025-03-12,1
198,198,15,2025-03-18,2025-03-18,0
199,199,1,2025-03-13,2025-03-20,0
200,200,6,2025-03-31,2025-03-31,1
201,201,7,2025-03-26,2025-03-26,1
202,202,3,2025-03-18,2025-03-18,1
203,203,3,2025-03-24,2025-03-31,0
204,204,8,2025-03-23,2025-03-30,0
205,205,1,2025-03-23,2025-03-30,0
206,206,1,2025-03-27,2025-03-27,0
207,207,1,2025-03-26,2025-04-02,0
208,208,8,2025-03-26,2025-03-26,0
209,209,7,2025-03-06,2025-03-06,1
210,210,6,2025-03-17,2025-03-17,1
211,211,7,2025-03-17,2025-03-17,1
212,212,4,2025-03-18,2025-03-18,1
213,213,10,2025-03-26,2025-04-02,0
214,214,1,2025-03-25,2025-03-25,0
215,215,10,2025-03-21,2025-03-21,0
216,216,1,2025-04-01,2025-04-08,0
217,217,13,2025-03-17,2025-03-17,1
218,218,13,2025-04-04,2025-04-04,0
219,219,10,2025-03-24,2025-03-24,0
220,220,1,2025-03-16,2025-03-23,0
221,221,3,2025-03-20,2025-03-20,1
222,222,2,2025-04-05,2025-04-05,1
223,223,8,2025-03-14,2025-03-21,0
224,224,1,2025-03-19,2025-03-19,0
225,225,2,2025-03-12,2025-03-12,1
226,226,6,2025-03-30,2025-03-30,1
227,227,9,2025-03-29,2025-03-29,1
228,228,4,2025-03-04,2025-03-04,1
229,229,12,2025-03-07,2025-03-07,1
230,230,7,2025-03-13,2025-03-13,1
231,231,12,2025-03-12,2025-03-12,1
232,232,8,2025-03-16,2025-03-16,1
233,233,3,2025-03-20,2025-03-20,0
234,234,1,2025-03-26,2025-03-26,0
235,235,12,2025-03-17,2025-03-17,1
236,236,12,2025-04-01,2025-04-01,1
237,237,2,2025-03-16,2025-03-16,1
238,238,1,2025-03-28,2025-03-28,0
239,239,10,2025-03-15,2025-03-15,0
240,240,8,2025-03-18,2025-03-18,1
241,241,14,2025-03-23,2025-03-30,0
242,242,4,2025-03-21,2025-03-21,1
