id,name,type,price,shipping_price,description_length,reviews,product_images,product_videos,advertisement,date_listed,user_id,item_id,date_created,date_cart_transition,total_days_before_cart_creation,became_order
1,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,1,3,2025-03-28,2025-03-28,78.0,1
2,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,2,8,2025-03-23,2025-03-30,59.0,0
3,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,3,15,2025-03-29,2025-03-29,64.0,1
4,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,4,1,2025-03-20,2025-03-27,74.0,0
5,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,5,5,2025-03-29,2025-03-29,64.0,1
6,lamp,office,236.88,8.64,89,1953,21,15,16603,2025-01-12,6,14,2025-03-21,2025-03-28,68.0,0
7,game,software,468.83,0,385,158,2,14,28296,2025-01-10,7,7,2025-03-19,2025-03-19,68.0,0
8,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,8,12,2025-03-14,2025-03-14,55.0,1
9,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,9,10,2025-04-04,2025-04-11,82.0,0
10,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,10,12,2025-03-07,2025-03-07,48.0,1
11,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,11,11,2025-04-04,2025-04-04,68.0,0
12,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,12,9,2025-04-01,2025-04-01,74.0,1
13,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,13,1,2025-04-01,2025-04-08,86.0,0
14,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,14,15,2025-03-31,2025-03-31,66.0,1
15,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,15,9,2025-03-04,2025-03-04,46.0,1
16,lamp,office,236.88,8.64,89,1953,21,15,16603,2025-01-12,16,14,2025-03-18,2025-03-18,65.0,0
17,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,17,15,2025-03-21,2025-03-21,56.0,1
18,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,18,11,2025-03-29,2025-03-29,62.0,0
19,game,software,468.83,0,385,158,2,14,28296,2025-01-10,19,7,2025-03-29,2025-03-29,78.0,1
20,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,20,3,2025-03-23,2025-03-23,73.0,1
21,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,21,6,2025-03-27,2025-03-27,71.0,1
22,lamp,office,236.88,8.64,89,1953,21,15,16603,2025-01-12,22,14,2025-03-14,2025-03-14,61.0,0
23,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,23,10,2025-03-28,2025-04-04,75.0,0
24,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,24,10,2025-03-25,2025-03-25,72.0,0
25,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,25,10,2025-04-02,2025-04-02,80.0,0
26,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,26,4,2025-03-13,2025-03-13,57.0,1
27,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,27,6,2025-04-01,2025-04-01,76.0,1
28,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,28,11,2025-03-26,2025-04-02,59.0,0
29,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,29,13,2025-03-05,2025-03-12,45.0,0
30,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,30,13,2025-04-03,2025-04-03,74.0,1
31,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,31,5,2025-03-26,2025-03-26,61.0,1
32,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,32,11,2025-03-15,2025-03-22,48.0,0
33,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,33,10,2025-04-04,2025-04-11,82.0,0
34,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,34,11,2025-03-21,2025-03-21,54.0,0
35,game,software,468.83,0,385,158,2,14,28296,2025-01-10,35,7,2025-03-18,2025-03-18,67.0,0
36,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,36,6,2025-03-26,2025-03-26,70.0,1
37,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,37,4,2025-03-26,2025-03-26,70.0,1
38,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,38,1,2025-03-28,2025-03-28,82.0,0
39,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,39,1,2025-03-15,2025-03-15,69.0,0
40,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,40,11,2025-03-31,2025-03-31,64.0,0
41,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,41,11,2025-03-30,2025-03-30,63.0,0
42,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,42,15,2025-03-02,2025-03-02,37.0,0
43,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,43,15,2025-03-22,2025-03-29,57.0,0
44,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,44,5,2025-03-23,2025-03-23,58.0,1
45,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,45,6,2025-03-26,2025-03-26,70.0,1
46,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,46,10,2025-03-12,2025-03-12,59.0,0
47,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,47,11,2025-03-20,2025-03-20,53.0,0
48,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,48,4,2025-03-14,2025-03-14,58.0,1
49,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,49,6,2025-03-14,2025-03-14,58.0,1
50,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,50,5,2025-03-30,2025-03-30,65.0,1
51,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,51,12,2025-04-05,2025-04-05,77.0,1
